,Users,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,AVG WORD LENGTH
0,avik-basu1889,8,8,0.0,0.03970223315210364,7.7826,37.7095,1511.493,7.7826,135,358,841,7.514
1,Ben_Cheshire,5,1,0.6666665555555741,0.02205882344831315,18.5,23.166,934.04,18.5,60,259,489,6.3552
2,claudio_carvalho,3,8,-0.4545454132231443,0.06790123414875782,8.0556,39.3103,1575.6342,8.0556,57,145,334,7.4552
3,elvircorhodzic,9,15,-0.24999998958333375,0.12244897896709704,7.9545,37.7143,1511.7538,7.9545,66,175,404,7.5029
4,faraaj-1,4,5,-0.11111109876543349,0.06206896508917955,11.25,28.8889,1160.056,11.25,39,135,271,6.7481
5,freemantle_uk,3,3,0.0,0.05999999940000001,11.625,29.0323,1165.942,11.625,27,93,196,6.5484
6,funkyfry,3,3,0.0,0.034090908897210746,21.125,20.7101,836.854,21.125,35,169,311,6.2071
7,ilpohirvonen,13,22,-0.2571428497959186,0.07306889337563906,8.4118,30.303,1215.4847,8.4118,130,429,911,6.8368
8,Infofreak,6,2,0.4999999375000079,0.05405405368882396,7.2778,30.5344,1224.2871,7.2778,40,131,268,7.0
9,InzyWimzy,1,2,-0.33333322222225925,0.03225806416926813,6.8333,36.5854,1466.1493,6.8333,30,82,172,6.6707
10,ironhorse_iv,12,15,-0.11111110699588492,0.049632352849940525,6.7857,28.4211,1139.5583,6.7857,135,475,978,6.8737
11,jboothmillard,1,3,-0.49999987500003124,0.023952095664957512,20.0,33.75,1358.0,20.0,54,160,345,6.65
12,ma-cortes,5,7,-0.16666665277777895,0.026431718003454365,17.2,33.2558,1337.112,17.2,143,430,922,6.8512
13,murtaza_mma,14,12,0.07692307396449716,0.05058365748913685,13.3056,37.5783,1508.4542,13.3056,180,479,1073,7.3403
14,OttoVonB,3,2,0.199999960000008,0.035714285459183676,11.8182,27.6923,1112.4193,11.8182,36,130,259,6.9308
15,Peach-2,2,0,0.99999950000025,0.019801980001960595,6.8462,40.4494,1620.7145,6.8462,36,89,207,7.1011
16,Pjtaylor-96-138044,5,4,0.11111109876543349,0.06338028124380084,8.6,27.907,1119.72,8.6,36,129,258,6.6977
17,planktonrules,7,3,0.39999996000000404,0.09803921472510574,11.875,29.4737,1183.698,11.875,28,95,194,6.4737
18,Platypuschow,2,1,0.33333322222225925,0.026785714046556126,17.8333,24.2991,979.0973,17.8333,26,107,198,6.1869
19,Quinoa1984,3,2,0.199999960000008,0.023584905549127805,14.3571,28.3582,1140.0708,14.3571,57,201,387,6.4229
20,rooprect,6,4,0.19999998000000202,0.0543478257915879,9.2778,22.7545,913.8911,9.2778,38,167,319,6.2575
21,tedg,2,2,0.0,0.032258064255983356,11.5,34.7826,1395.904,11.5,40,115,249,7.0348
22,TheLittleSongbird,2,2,0.0,0.03418803389582877,12.1111,37.6147,1509.4324,12.1111,41,109,237,6.7798
23,Tigereyes,1,1,0.0,0.022471909859866183,9.1111,31.7073,1271.9364,9.1111,26,82,168,6.9268
24,Witchfinder-General-666,9,3,0.4999999583333368,0.08219178025896041,20.0,33.5714,1350.856,20.0,47,140,285,6.7286
